plz1;plz2;Distanz_convert_in_km
27257;67227;364.288
30657;94339;450.9
01824;83131;376.578
09633;42657;441.985
06536;83236;421.381
29396;80935;497.176
71563;82515;190.966
53498;67578;112.838
34519;45892;118.449
16837;31096;244.004
33442;44867;89.4891
63450;84100;299.586
14057;49504;365.05
04416;17454;328.576
87779;92442;206.136
07613;78144;405.333
67258;86684;219.115
72411;74427;84.9895
57074;85238;368.666
35037;37339;132.721
76593;96275;257.137
02829;92726;242.631
34123;74744;200.854
33181;74544;283.008
37276;79285;398.765
83714;91593;217.426
32699;66129;354.653
35463;88448;276.751
14165;94060;447.822
25336;37649;207.576
48607;79809;509.936
10179;67125;496.347
54346;86940;357.52
34587;73734;268.81
76227;81373;244.708
29451;34632;270.194
09337;86502;293.673
45128;64759;255.942
77889;97268;170.081
03226;65552;445.213
02739;77839;540.171
26903;66892;400.906
45257;79424;401.944
30165;78739;478.992
17259;63073;488.91
31609;60596;292.419
09350;29590;282.417
04177;67376;363.12
71277;93089;245.044
91462;91475;7.28733
13353;97842;394.621
24232;48308;330.353
04275;36284;180.55
04617;14913;118.09
49626;83224;633.708
07607;79365;428.172
25587;35423;380.741
13407;54552;521.879
45966;86989;515.128
55294;98666;198.633
12689;91468;386.126
86470;86733;64.4208
56154;56645;28.2076
71732;82211;181.91
32549;97288;289.652
44652;92367;394.726
04289;84030;302.787
30449;83417;538.589
37186;80999;407.971
28309;88212;588.046
36160;87785;270.253
49685;67308;359.091
18565;49681;376.484
16306;65187;537.85
26683;74172;446.001
21723;79292;642.333
09224;34582;248.171
23744;57518;428.675
73347;83435;255.229
10367;33102;335.174
54290;89362;305.899
23554;83367;682.905
29367;56648;332.854
22959;76848;524.724
83101;96135;248.54
23744;76857;588.275
67587;89617;196.044
14828;18055;213.744
22145;90478;469.249
18461;45468;504.936
24873;39435;331.345
86732;99102;221.879
21447;73095;520.917
31195;83671;485.989
10715;52396;516.315
63743;86399;220.305
53539;82131;408.872
22961;85757;611.37
31028;76133;356.735
66892;97080;184.513
44135;45661;20.5344
27249;78345;555.131
01259;96524;201.317
56477;79664;334.298
59379;84577;533.627
37281;54497;264.93
68542;87668;229.24
35447;57641;94.7381
21614;92690;440.404
10627;91583;417.53
22335;88376;636.32
37603;91362;257.682
50670;87561;465.317
01824;97294;308.599
36132;72379;275.066
23769;55432;540.248
32756;97469;235.881
14109;89547;476.784
42329;86733;366.936
29396;72510;512.764
34305;47179;181.795
58675;91189;317.689
65552;68159;103.151
24398;68535;583.06
08468;91332;117.862
44894;73252;362.895
53175;85301;404.049
38368;73460;383.831
02991;93186;312.579
41469;46045;36.3778
07745;89264;306.67
63691;65307;71.0947
67583;96197;213.499
22113;79771;667.025
16792;37287;310.51
38474;96275;269.535
24401;39130;303.95
40235;67663;213.367
15345;45879;481.63
68526;93352;256.099
40880;51588;66.729
09355;95237;87.5381
59425;72172;361.19
26903;39576;296.464
13349;37351;250.523
21403;46045;313.333
14469;54293;531.864
25462;47661;331.021
39446;96114;234.506
72525;99097;303.674
49624;73663;448.569
57641;61138;103.763
07558;86879;332.705
83132;96275;259.017
67346;89520;144.426
71116;85131;172.299
30926;63110;268.63
28865;72419;548.706
04736;13053;168.755
47445;92696;450.387
03099;23946;320.174
29353;83703;550.029
18442;93090;587.42
63450;65205;44.3265
86753;94244;179.231
61130;85774;304.512
19306;91349;410.498
64560;69518;40.408
35708;61440;67.7554
48361;86450;423.327
23626;56206;442.823
54310;94505;473.55
38531;88697;527.349
21258;76448;496.444
17506;39443;258.303
24881;55437;527.623
23824;73574;582.14
12351;53639;470.191
08107;70469;313.871
14662;67714;517.131
12159;88097;602.952
37445;63695;180.667
24238;88289;727.039
54451;76709;150.005
27404;98597;290.783
63840;79683;255.181
56254;64380;107.57
73457;74252;83.9958
69123;94344;287.747
55457;69437;97.8861
22959;97522;407.274
23821;72510;655.665
87733;89604;66.9774
23775;97516;504.566
60589;89542;196.28
58452;66679;217.617
24113;85057;619.98
07745;64689;240.517
29525;83533;557.899
51490;77776;290.967
08645;60528;258.468
79283;89173;169.591
10963;18317;209.789
72417;84032;226.711
66629;71576;169.712
24211;83734;729.066
71254;97348;129.963
91486;92546;102.015
06420;19209;221.909
29339;67297;355.129
24943;97273;551.078
01847;84082;274.206
77654;91478;210.459
75331;91744;132.974
37296;74206;217.581
12309;94252;365.975
48268;91347;352.107
24963;38489;245.041
75181;79276;110.171
02794;49624;515.125
66450;85302;314.49
21465;79104;637.487
48432;96489;333.694
72469;79848;60.3747
39217;54317;431.911
22848;99510;311.285
24395;72226;687.985
86703;99837;239.12
50676;84539;492.666
31708;65326;234.569
21640;30826;116.056
25488;65779;396.514
39110;69253;352.08
24647;97255;499.983
23820;29568;117.686
21493;85659;606.647
36326;74676;171.527
74936;82399;212.642
30880;74394;369.012
06905;85652;394.456
23617;94099;636.831
46242;82327;509.305
38379;42279;274.587
86923;96187;219.852
69439;91161;161.765
84359;86488;201.122
61239;65375;59.9458
27259;92542;442.881
27616;85221;604.392
18442;24238;163.915
04445;34266;200.886
06679;86688;280.902
18347;84427;677.527
47138;54570;144.697
33014;86647;366.471
09376;77728;409.865
73494;84437;187.458
48653;94146;573.476
09114;89520;308.387
64572;79279;211.274
56288;95697;320.81
26188;65388;336.591
24631;67734;547.06
